title,price,location,year,mileage,link
Toyota Etios 1.5 Sedan Xls,25900000,Río Primero - Córdoba,2024,1000,https://auto.mercadolibre.com.ar/MLA-1455438889-etios-sedan-4p-xls-pack-mt-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xs,7500000,Berazategui - Bs.As. G.B.A. Sur,2017,177000,https://auto.mercadolibre.com.ar/MLA-1468922133-toyota-etios-15-xs-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls Mt6 4p,22900000,Córdoba - Córdoba,2021,74400,https://auto.mercadolibre.com.ar/MLA-1982247126-toyota-etios-15-xls-mt6-4p-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,14987999,Tigre - Bs.As. G.B.A. Norte,2017,88000,https://auto.mercadolibre.com.ar/MLA-1982093878-toyota-etios-xls-15-mt-2017-88000km-fcio-tusado-oport-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,14988000,Tigre - Bs.As. G.B.A. Norte,2017,88000,https://auto.mercadolibre.com.ar/MLA-1982106764-toyota-etios-xls-15-mt-2017-88000km-fcio-tusado-oport-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,19900,Quilmes - Bs.As. G.B.A. Sur,2022,31000,https://auto.mercadolibre.com.ar/MLA-1980325146-toyota-etios-15-xls-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,18700000,Tigre - Bs.As. G.B.A. Norte,2022,110000,https://auto.mercadolibre.com.ar/MLA-1970002680-toyota-etios-xls-pack-manual-5-puertas-hatchback-2022-blanco-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 X 6mt My19,18990000,Capital Federal - Capital Federal,2023,31000,https://auto.mercadolibre.com.ar/MLA-1463646699-toyota-etios-cinco-puertas-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls At,19900000,Capital Federal - Capital Federal,2019,17000,https://auto.mercadolibre.com.ar/MLA-1458881583-toyota-etios-xls-at-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls At,15800000,Capital Federal - Capital Federal,2018,90000,https://auto.mercadolibre.com.ar/MLA-1936799756-toyota-etios-15-xls-4pts-at-2018-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,24000000,Vicente López - Bs.As. G.B.A. Norte,2022,25000,https://auto.mercadolibre.com.ar/MLA-1903936564-toyota-xls-15-mt6-2022-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 X 5p Mt,17300000,Capital Federal - Capital Federal,2022,44000,https://auto.mercadolibre.com.ar/MLA-1468799233-toyota-etios-15-x-5p-mt-2022-imolaautos-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Platinum At,14900000,Vicente López - Bs.As. G.B.A. Norte,2017,176000,https://auto.mercadolibre.com.ar/MLA-1977613268-toyota-etios-15-platinum-at-motormax-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Platinum 4 P Automática,14500,Del Viso - Bs.As. G.B.A. Norte,2017,150000,https://auto.mercadolibre.com.ar/MLA-1974734938-toyota-etios-15-platinum-4-p-automatica-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls At,28000000,Córdoba - Córdoba,2023,0,https://auto.mercadolibre.com.ar/MLA-1971333414-toyota-etios-15-4-ptas-xls-4at-l18-2023-color-blanco-nafta-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,13900000,Caseros - Bs.As. G.B.A. Oeste,2015,90000,https://auto.mercadolibre.com.ar/MLA-1465044411-toyota-etios-2015-15-xls-unica-mano-servicios-oficiales-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls,15900,La Matanza - Bs.As. G.B.A. Oeste,2018,49000,https://auto.mercadolibre.com.ar/MLA-1975529940-auto-toyota-etios-15-xls-pocos-km-services-oficiales-mt-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,15900000,Capital Federal - Capital Federal,2016,68589,https://auto.mercadolibre.com.ar/MLA-1458079779-toyota-etios-xls-15-mt-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls At,18000000,Almirante Brown - Bs.As. G.B.A. Sur,2019,76400,https://auto.mercadolibre.com.ar/MLA-1469063981-toyota-etios-15-xls-at-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 X 6mt My19,15500000,General San Martín - Bs.As. G.B.A. Norte,2019,96852,https://auto.mercadolibre.com.ar/MLA-1465121949-toyota-etios-15-x-6mt-my19-gi-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls At,19500000,Lobos - Buenos Aires Interior,2020,19000,https://auto.mercadolibre.com.ar/MLA-1972256500-lob-toyota-etios-xls-at-4p-15-n-2020-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,18700000,Tigre - Bs.As. G.B.A. Norte,2022,112000,https://auto.mercadolibre.com.ar/MLA-1969593254-toyota-etios-xls-pack-manual-5-puertas-hatchback-2022-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls At,17500000,La Plata - Bs.As. G.B.A. Sur,2020,101944,https://auto.mercadolibre.com.ar/MLA-1458780367-toyota-etios-15-4-ptas-xls-4at-2020-la-plata-284-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls,17000000,Luján - Buenos Aires Interior,2018,120000,https://auto.mercadolibre.com.ar/MLA-1458755231-toyota-etios-15-5-ptas-xls-6mt-l18-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls,15900000,Moreno - Bs.As. G.B.A. Oeste,2015,62000,https://auto.mercadolibre.com.ar/MLA-1981326396-toyota-etios-xls-15-mt-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xs,12300000,Moreno - Bs.As. G.B.A. Oeste,2014,122700,https://auto.mercadolibre.com.ar/MLA-1974865778-toyota-etios-xs-15-mt-4-puertas-ano-2014-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls At,20000000,Córdoba - Córdoba,2017,45000,https://auto.mercadolibre.com.ar/MLA-1975370676-toyota-etios-2017-15-xls-at-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls At,20500,Capital Federal - Capital Federal,2021,41000,https://auto.mercadolibre.com.ar/MLA-1986244578-toyota-etios-15-5p-xls-at-2021-rpm-moviles-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Sedan Xls At,22498000,Capital Federal - Capital Federal,2022,14000,https://auto.mercadolibre.com.ar/MLA-1985464234-toyota-etios-15-sedan-xls-at-e-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 X 6mt My19,20900000,General López - Santa Fe,2019,9000,https://auto.mercadolibre.com.ar/MLA-1982410762-toyota-etios-15-x-6mt-5ptas-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls,14650,La Plata - Bs.As. G.B.A. Sur,2017,76000,https://auto.mercadolibre.com.ar/MLA-1967969284-toyota-etios-15-xls-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 Xls At,23500,Mar Del Plata - Bs.As. Costa Atlántica,2022,49000,https://auto.mercadolibre.com.ar/MLA-1457268475-toyota-etios-15n-xls-at-49000km-2022-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
Toyota Etios 1.5 X 6mt,22000000,Capital Federal - Capital Federal,2024,0,https://auto.mercadolibre.com.ar/MLA-1984537160-toyota-etios-15-x-6mt-sa-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=f978b8b7-4c2d-4966-8990-9feab93777b9
